cut,value,arm,label,n,mean_lddt,ci_lo,ci_hi
designed,designed,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.826397525431766,0.7947878767795977,0.8534103132654117
designed,designed,v2msa,Helico + Protenix-v2 +MSA contacts,19,0.8188344666655091,0.774259055597589,0.8520193287392324
designed,designed,oracle,Helico + oracle contacts,19,0.8555400436737589,0.8372283102284319,0.8728557861963412
designed,designed,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.8283292105263158,0.8040923368421053,0.8506854618421053
designed,designed,protenix_v2_msa,Protenix v2 + MSA,19,0.8138114736842106,0.7728195999999999,0.8450274618421054
designed,designed,esmfold,ESMFold,19,,,
designed,designed,esmfold2,ESMFold2,19,,,
designed,natural,off,"Helico, no contacts",305,0.359270299120976,0.3443904016852044,0.37474197704820805
designed,natural,mf_L5,"Helico + MarinFold, top-L/5",305,0.5598947017681454,0.5425364047876201,0.5768257546798327
designed,natural,mf_L2,"Helico + MarinFold, top-L/2",305,0.6012562257249787,0.5823703910116194,0.6196466701649535
designed,natural,mf_L,"Helico + MarinFold, top-L",305,0.6146224697842946,0.595422024772232,0.6331304518752624
designed,natural,v2ss,Helico + Protenix-v2 single-seq contacts,305,0.3921000653044341,0.37479659068437443,0.4100521062331766
designed,natural,v2msa,Helico + Protenix-v2 +MSA contacts,305,0.8301931018243227,0.8215055554643949,0.8381842008689575
designed,natural,oracle,Helico + oracle contacts,305,0.8614194142709302,0.8566729931836088,0.8660064898823546
designed,natural,protenix_v2_single_seq,"Protenix v2, single sequence",305,0.39856069508196723,0.38141670106557374,0.4164363044262295
designed,natural,protenix_v2_msa,Protenix v2 + MSA,305,0.8608874524590164,0.8521156020491802,0.868738440409836
designed,natural,esmfold,ESMFold,305,0.7954571409836066,0.7792427365573771,0.8100973790983607
designed,natural,esmfold2,ESMFold2,305,0.8352012721311476,0.8204646002459017,0.8485622335245901
homology,50% id or more,off,"Helico, no contacts",255,0.39479133703152647,0.3734595806972884,0.4166164027609251
homology,50% id or more,mf_L5,"Helico + MarinFold, top-L/5",255,0.5829755939539352,0.5635517040524296,0.6025954123150986
homology,50% id or more,mf_L2,"Helico + MarinFold, top-L/2",255,0.6228906653851912,0.6022847878338595,0.6431448823121725
homology,50% id or more,mf_L,"Helico + MarinFold, top-L",255,0.634661226726127,0.6139966247558177,0.6548240969775807
homology,50% id or more,v2ss,Helico + Protenix-v2 single-seq contacts,255,0.4268516610566543,0.403854310900575,0.45052890752615904
homology,50% id or more,v2msa,Helico + Protenix-v2 +MSA contacts,255,0.8349293308528536,0.8256849283767188,0.8430596615279745
homology,50% id or more,oracle,Helico + oracle contacts,255,0.8612265698293309,0.8557315240085716,0.8663155190524137
homology,50% id or more,protenix_v2_single_seq,"Protenix v2, single sequence",255,0.4330751568627451,0.4102966556862745,0.45662106833333344
homology,50% id or more,protenix_v2_msa,Protenix v2 + MSA,255,0.8644381843137254,0.8553322434313726,0.872399309117647
homology,50% id or more,esmfold,ESMFold,255,,,
homology,50% id or more,esmfold2,ESMFold2,255,,,
homology,under 50% id,off,"Helico, no contacts",69,0.3562243509827221,0.32457623165227595,0.3920182650420372
homology,under 50% id,mf_L5,"Helico + MarinFold, top-L/5",69,0.5458467395704837,0.5083320152376525,0.5824756377868575
homology,under 50% id,mf_L2,"Helico + MarinFold, top-L/2",69,0.5673033653318502,0.525030526604073,0.6080651112256824
homology,under 50% id,mf_L,"Helico + MarinFold, top-L",69,0.5827979035085786,0.540315263263745,0.6243324958484731
