metric,lower_is_better,eval_set,arm,label,n,mean,ci_lo,ci_hi
lddt,0,all,mf_L,"Helico + MarinFold, top-L",324,0.6236162597446122,0.6045748958715669,0.6419613479564703
lddt,0,all,v2ss,Helico + Protenix-v2 single-seq contacts,324,0.417568126237827,0.3974746695312639,0.4376046716078431
lddt,0,all,v2msa,Helico + Protenix-v2 +MSA contacts,324,0.8295270090217998,0.8211921859723635,0.8372067162748462
lddt,0,all,oracle,Helico + oracle contacts,324,0.8610746363655406,0.8564665826713147,0.8654313771886769
lddt,0,all,protenix_v2_single_seq,"Protenix v2, single sequence",324,0.42376316975308637,0.40402018695987657,0.4437718476851853
lddt,0,all,protenix_v2_msa,Protenix v2 + MSA,324,0.8581268240740741,0.8496954032407408,0.8658327086419754
tm_score,0,eval-val,off,"Helico, no contacts",95,0.4216774525967018,0.3891157940993737,0.4561701894425099
tm_score,0,eval-val,mf_L5,"Helico + MarinFold, top-L/5",95,0.6684982068274,0.6296692968549957,0.7060194179648552
tm_score,0,eval-val,mf_L2,"Helico + MarinFold, top-L/2",95,0.6981713717127414,0.6538243242270054,0.7411931144322231
tm_score,0,eval-val,mf_L,"Helico + MarinFold, top-L",95,0.7170115970231354,0.6735758555259598,0.7587496821402411
tm_score,0,eval-val,v2ss,Helico + Protenix-v2 single-seq contacts,95,0.46324409575253034,0.4282659819758997,0.4993866974947103
tm_score,0,eval-val,v2msa,Helico + Protenix-v2 +MSA contacts,95,0.9226828269914912,0.9061724350303351,0.9377271010704591
tm_score,0,eval-val,oracle,Helico + oracle contacts,95,0.9548465317494553,0.9453803908550039,0.9630186938910668
tm_score,0,eval-val,protenix_v2_single_seq,"Protenix v2, single sequence",95,0.46779312631578934,0.4321822605263158,0.5044997834210526
tm_score,0,eval-val,protenix_v2_msa,Protenix v2 + MSA,95,0.9383012000000002,0.9214252828947368,0.9531721676315787
tm_score,0,eval-test,off,"Helico, no contacts",210,0.4347632489185147,0.4133560491064914,0.4576728919124276
tm_score,0,eval-test,mf_L5,"Helico + MarinFold, top-L/5",210,0.6712292580149527,0.6461830703199374,0.6952633235208244
tm_score,0,eval-test,mf_L2,"Helico + MarinFold, top-L/2",210,0.7137999124369506,0.6870152931850747,0.7392639350241763
tm_score,0,eval-test,mf_L,"Helico + MarinFold, top-L",210,0.7360104193426177,0.7086979190559938,0.7623011085806857
tm_score,0,eval-test,v2ss,Helico + Protenix-v2 single-seq contacts,210,0.4622323208705613,0.43733229308479715,0.48818513019034143
tm_score,0,eval-test,v2msa,Helico + Protenix-v2 +MSA contacts,210,0.9277575567393236,0.9156807530478341,0.9386058899948931
tm_score,0,eval-test,oracle,Helico + oracle contacts,210,0.9562987444575024,0.9504266404434183,0.9617355429369846
tm_score,0,eval-test,protenix_v2_single_seq,"Protenix v2, single sequence",210,0.46413232380952385,0.4390855835714286,0.4902723826190477
tm_score,0,eval-test,protenix_v2_msa,Protenix v2 + MSA,210,0.9424497761904761,0.9304361170238096,0.9529585104761905
