target_id,eval_set,L,precision_L,n_pairs_L,n_unmapped_L,precision_L2,n_pairs_L2,n_unmapped_L2,precision_L5,n_pairs_L5,n_unmapped_L5
9cfj_A,eval-test,276,0.532609,276,0,0.746377,138,0,1.0,55,0
9crn_A,eval-test,379,0.686016,379,0,0.904762,189,0,1.0,75,0
9d91_A,eval-test,320,0.375,320,0,0.5625,160,0,0.796875,64,0
9etn_A,eval-test,586,0.749147,586,0,0.911263,293,0,0.982906,117,0
9evq_A,eval-test,226,0.535398,226,0,0.849558,113,0,0.977778,45,0
9fce_A,eval-test,229,0.672489,229,0,0.885965,114,0,1.0,45,0
9fgp_A,eval-test,140,0.292857,140,0,0.442857,70,0,0.678571,28,0
9f9u_A,eval-test,170,0.358824,170,0,0.552941,85,0,0.676471,34,0
9fow_A,eval-test,146,0.219178,146,0,0.219178,73,0,0.034483,29,0
9fym_A,eval-test,330,0.654545,330,0,0.824242,165,0,0.954545,66,0
9gso_A,eval-test,177,0.237288,177,0,0.306818,88,0,0.428571,35,0
9ijc_A,eval-test,321,0.719626,321,0,0.88125,160,0,1.0,64,0
9iuh_A,eval-test,411,0.708029,411,0,0.892683,205,0,0.987805,82,0
9j0v_A,eval-test,286,0.65035,286,0,0.86014,143,0,0.947368,57,0
9jq9_A,eval-test,179,0.530726,179,0,0.752809,89,0,0.942857,35,0
7qp5_A,eval-val,245,0.42449,245,0,0.557377,122,0,0.673469,49,0
7qsj_A,eval-val,373,0.630027,373,0,0.865591,186,0,0.945946,74,0
7t9r_A,eval-val,38,0.210526,38,0,0.210526,19,0,0.428571,7,0
7tlh_A,eval-val,136,0.345588,136,0,0.411765,68,0,0.703704,27,0
7tjb_A,eval-val,227,0.669604,227,0,0.902655,113,0,0.977778,45,0
7uba_A,eval-val,213,0.230047,213,0,0.330189,106,0,0.571429,42,0
7uk8_A,eval-val,394,0.596447,394,0,0.761421,197,0,0.846154,78,0
7ur2_A,eval-val,195,0.34359,195,0,0.412371,97,0,0.564103,39,0
7urp_A,eval-val,160,0.39375,160,0,0.625,80,0,0.90625,32,0
7uvg_A,eval-val,183,0.415301,183,0,0.549451,91,0,0.833333,36,0
7uww_A,eval-val,635,0.425197,635,0,0.59306,317,0,0.826772,127,0
7v3o_A,eval-val,328,0.341463,328,0,0.493902,164,0,0.769231,65,0
7w15_A,eval-val,302,0.675497,302,0,0.847682,151,0,0.933333,60,0
7y3h_A,eval-val,413,0.527845,413,0,0.781553,206,0,0.939024,82,0
7wz5_A,eval-val,161,0.043478,161,0,0.0375,80,0,0.09375,32,0
7wzm_A,eval-val,492,0.676829,492,0,0.910569,246,0,0.989796,98,0
7x4p_A,eval-val,307,0.517915,307,0,0.679739,153,0,0.868852,61,0
7x3h_A,eval-val,290,0.655172,290,0,0.765517,145,0,0.810345,58,0
7x8l_A,eval-val,514,0.564202,514,0,0.785992,257,0,0.941176,102,0
7xcd_A,eval-val,178,0.146067,178,0,0.235955,89,0,0.342857,35,0
7xg9_A,eval-val,288,0.361111,288,0,0.541667,144,0,0.736842,57,0
7xi5_A,eval-val,65,0.584615,65,0,0.9375,32,0,1.0,13,0
7xp9_A,eval-val,84,0.297619,84,0,0.404762,42,0,0.625,16,0
