stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
7x3h_A,290,single,L,290,290,296,0.4379310344827586,0.42905405405405406
7x4p_A,307,rollout,L/5,61,61,333,0.9180327868852459,0.16816816816816818
7x4p_A,307,rollout,L/2,153,153,333,0.6797385620915033,0.3123123123123123
7x4p_A,307,rollout,L,307,307,333,0.511400651465798,0.47147147147147145
7x4p_A,307,single,L/5,61,61,333,0.3442622950819672,0.06306306306306306
7x4p_A,307,single,L/2,153,153,333,0.35294117647058826,0.16216216216216217
7x4p_A,307,single,L,307,307,333,0.3745928338762215,0.34534534534534533
7x8l_A,514,rollout,L/5,102,102,580,0.9901960784313726,0.17413793103448275
7x8l_A,514,rollout,L/2,257,257,580,0.914396887159533,0.4051724137931034
7x8l_A,514,rollout,L,514,514,580,0.7665369649805448,0.6793103448275862
7x8l_A,514,single,L/5,102,102,580,0.5098039215686274,0.0896551724137931
7x8l_A,514,single,L/2,257,257,580,0.5252918287937743,0.23275862068965517
7x8l_A,514,single,L,514,514,580,0.546692607003891,0.4844827586206897
7xcd_A,178,rollout,L/5,35,35,148,0.2571428571428571,0.060810810810810814
7xcd_A,178,rollout,L/2,89,89,148,0.1797752808988764,0.10810810810810811
7xcd_A,178,rollout,L,178,178,148,0.15168539325842698,0.18243243243243243
7xcd_A,178,single,L/5,35,35,148,0.08571428571428572,0.02027027027027027
7xcd_A,178,single,L/2,89,89,148,0.0898876404494382,0.05405405405405406
7xcd_A,178,single,L,178,130,148,0.09230769230769231,0.08108108108108109
7xg9_A,288,rollout,L/5,57,57,241,0.7719298245614035,0.1825726141078838
7xg9_A,288,rollout,L/2,144,144,241,0.5625,0.3360995850622407
7xg9_A,288,rollout,L,288,288,241,0.3680555555555556,0.43983402489626555
7xg9_A,288,single,L/5,57,57,241,0.2807017543859649,0.06639004149377593
7xg9_A,288,single,L/2,144,144,241,0.2916666666666667,0.17427385892116182
7xg9_A,288,single,L,288,219,241,0.2922374429223744,0.26556016597510373
7xi5_A,65,rollout,L/5,13,13,42,1.0,0.30952380952380953
7xi5_A,65,rollout,L/2,32,32,42,0.90625,0.6904761904761905
7xi5_A,65,rollout,L,65,65,42,0.6,0.9285714285714286
7xi5_A,65,single,L/5,13,13,42,0.6153846153846154,0.19047619047619047
7xi5_A,65,single,L/2,32,32,42,0.75,0.5714285714285714
7xi5_A,65,single,L,65,47,42,0.7446808510638298,0.8333333333333334
7xjr_A,337,rollout,L/5,67,67,354,0.9552238805970149,0.1807909604519774
7xjr_A,337,rollout,L/2,168,168,354,0.8511904761904762,0.403954802259887
7xjr_A,337,rollout,L,337,337,354,0.6350148367952523,0.6045197740112994
7xjr_A,337,single,L/5,67,67,354,0.5373134328358209,0.1016949152542373
7xjr_A,337,single,L/2,168,168,354,0.49404761904761907,0.2344632768361582
7xjr_A,337,single,L,337,337,354,0.49258160237388726,0.4689265536723164
7xlz_A,266,rollout,L/5,53,53,265,0.9433962264150944,0.18867924528301888
7xlz_A,266,rollout,L/2,133,133,265,0.7894736842105263,0.39622641509433965
7xlz_A,266,rollout,L,266,266,265,0.6240601503759399,0.6264150943396226
7xlz_A,266,single,L/5,53,53,265,0.5094339622641509,0.1018867924528302
7xlz_A,266,single,L/2,133,133,265,0.5037593984962406,0.2528301886792453
7xlz_A,266,single,L,266,266,265,0.5263157894736842,0.5283018867924528
7xp9_A,84,rollout,L/5,16,16,45,0.5625,0.2
7xp9_A,84,rollout,L/2,42,42,45,0.23809523809523808,0.2222222222222222
7xp9_A,84,rollout,L,84,84,45,0.20238095238095238,0.37777777777777777
7xp9_A,84,single,L/5,16,16,45,0.0625,0.022222222222222223
7xp9_A,84,single,L/2,42,42,45,0.11904761904761904,0.1111111111111111
7xp9_A,84,single,L,84,54,45,0.14814814814814814,0.17777777777777778
7xq4_A,514,rollout,L/5,102,102,472,0.9117647058823529,0.19703389830508475
7xq4_A,514,rollout,L/2,257,257,472,0.6848249027237354,0.3728813559322034
7xq4_A,514,rollout,L,514,514,472,0.4474708171206226,0.4872881355932203
7xq4_A,514,single,L/5,102,102,472,0.2647058823529412,0.057203389830508475
7xq4_A,514,single,L/2,257,257,472,0.2918287937743191,0.15889830508474576
7xq4_A,514,single,L,514,430,472,0.29767441860465116,0.2711864406779661
7xrx_A,398,rollout,L/5,79,79,396,0.27848101265822783,0.05555555555555555
7xrx_A,398,rollout,L/2,199,199,396,0.22110552763819097,0.1111111111111111
7xrx_A,398,rollout,L,398,398,396,0.15577889447236182,0.15656565656565657
7xrx_A,398,single,L/5,79,79,396,0.08860759493670886,0.017676767676767676
7xrx_A,398,single,L/2,199,199,396,0.07035175879396985,0.03535353535353535
7xrx_A,398,single,L,398,361,396,0.0886426592797784,0.08080808080808081
7xyr_A,591,rollout,L/5,118,118,707,0.9830508474576272,0.16407355021216408
7xyr_A,591,rollout,L/2,295,295,707,0.8983050847457628,0.37482319660537483
7xyr_A,591,rollout,L,591,591,707,0.7529610829103215,0.6294200848656294
